source_db,query_language,title,abstract,doi_clean,year,authors,journal,doc_type,language,uid,found_in_dbs,n_dbs,doc_type_tag
WoS,english,"A MODIS-based scalable remote sensing method to estimate sowing and harvest dates of soybean crops in Mato Grosso, Brazil",NA,10.1016/j.heliyon.2021.e07436,2021,"Zhang, Minghui | Abrahao, Gabriel | Cohn, Avery | Campolo, Jake | Thompson, Sally",HELIYON,NA,NA,NA,WoS,1,other
Scopus,english,A Methodological Framework to Assess the Urban Content in Climate Change Policies,NA,10.48264/vvsiev-20212909,2021,Pizzorni M.,Valori E Valutazioni,Article,NA,SCOPUS_ID:85123272399,Scopus,1,research_paper
Scopus,english,A methodology for assessing the impact of climate change on building energy consumption,NA,10.1007/978-3-030-65421-4_17,2021,Karlen C.G.,Urban Microclimate Modelling for Comfort and Energy Studies,Book Chapter,NA,SCOPUS_ID:85150738008,Scopus,1,other
WoS,english,A multi-taxonomic framework for assessing relative petrochemical vulnerability of marine biodiversity in the Gulf of Mexico,NA,10.1016/j.scitotenv.2020.142986,2021,"Polidoro, Beth | Matson, Cole W. | Ottinger, Mary Ann | Renegar, D. Abigail | Romero, Isabel C. | Schlenk, Daniel | Wise, John Pierce, Sr. | Beltran Gonzalez, Jesus | Bruns, Peter | Carpenter, Kent | Cobian Rojas, Dorka | Collier, Tracy K. | Duda, Thomas F., Jr. | Gonzalez-Diaz, Patricia | Di Giulio, Richard | Grubbs, R. Dean | Haney, J. Christopher | Incardona, John P. | Horta-Puga, Guillermo | Linardich, Christi | Moore, Jon A. | Pech, Daniel | Perera Valderrama, Susana | Ralph, Gina M. | Strongin, Kyle | Ringwood, Amy H. | Wursig, Bernd",SCIENCE OF THE TOTAL ENVIRONMENT,NA,NA,NA,WoS,1,other
Scopus,english,A raw water security risk model for urban supply based on failure mode analysis,NA,10.1016/j.jhydrol.2020.125843,2021,Carvalho de Melo M.,Journal of Hydrology,Article,NA,SCOPUS_ID:85097800699,Scopus,1,research_paper
WoS,english,A sustainable approach for urban farming based on city logistics concepts for local production and consumption of vegetables,NA,10.1016/j.retrec.2021.101038,2021,"Magalhaes de Oliveira, Renata Lucia | Santos, Igor Vieira | Graciano, Guilherme Fonseca | Cunha Libanio, Andre Augusto | de Oliveira, Leise Kelli | Fontes Pereira Bracarense, Lilian dos Santos",RESEARCH IN TRANSPORTATION ECONOMICS,NA,NA,NA,Scopus; WoS,2,other
WoS,english,Aboveground biomass in secondary montane forests in Peru: Slow carbon recovery in agroforestry legacies,NA,10.1016/j.gecco.2021.e01696,2021,"Aragon, Susan | Salinas, Norma | Nina-Quispe, Alex | Huaman Qquellon, Vicky | Rayme Paucar, Gloria | Huaman, Wilfredo | Chambi Porroa, Percy | Olarte, Juliana C. | Cruz, Rudi | Muniz, Julia G. | Salas Yupayccana, Carlos | Boza Espinoza, Tatiana E. | Tito, Richard | Cosio, Eric G. | Roman-Cuesta, Rosa Maria",GLOBAL ECOLOGY AND CONSERVATION,NA,NA,NA,Scopus; WoS,2,other
Scopus,english,Adaptation strategies for people: mitigating climate-change-related risks in low-income and informal urban communities through co-production,NA,10.5871/jba/009s9.007,2021,Ferrari S.G.,Journal of the British Academy,Article,NA,SCOPUS_ID:85137296996,Scopus,1,research_paper
WoS,english,Adaptive Capacity as Local Sustainable Development: Contextualizing and Comparing Risks and Resilience in Two Chilean Regions,NA,10.3390/su13094660,2021,"Barton, Jonathan R. | Gutierrez-Antinopai, Felipe | Escalona Ulloa, Miguel",SUSTAINABILITY,NA,NA,NA,Scopus; WoS,2,other
Scopus,english,Administering Agroforestry At The District Level,NA,NA,2021,Arunachalam A.,Current Science,Article,NA,SCOPUS_ID:85113898657,Scopus,1,research_paper
