journal,n
Scopus,422
SUSTAINABILITY,4
URBAN FORESTRY & URBAN GREENING,3
CLIMATE RISK MANAGEMENT,2
ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2
INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,2
JOURNAL OF LATIN AMERICAN GEOGRAPHY,2
NPJ CLIMATE ACTION,2
REVISTA BRASILEIRA DE GEOMORFOLOGIA,2
URBAN CLIMATE,2
URBAN SCIENCE,2
AEROSOL SCIENCE AND ENGINEERING,1
AGRIENGINEERING,1
AGRIVOLTAICS WORLD CONFERENCE 2023,1
ANDEAN GEOLOGY,1
ANIMALS,1
ATMOSPHERE,1
BOLETIN DE LA SOCIEDAD GEOLOGICA MEXICANA,1
CATENA,1
CHILDRENS GEOGRAPHIES,1
